Id,Symbol,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization,
316,MBLEF,9.96,10.1,9.96,10.1,24800,247546,10.01,10.24,8.59,10.1,34,9.98,1228.42,
317,PURE,1100,1118,1055,1068.8,28674,30661582.9,1097,1327.9,289.3,1068.8,360,1069.31,8550.4,
318,RSY,9.72,10.07,9.72,9.9,84190,836320.5,9.78,10.17,8.58,9.9,54,9.93,1188,
319,NIFRAGED,1024.1,1025.1,1024.1,1025.1,50,51230,1035,1137.2,948,1025.1,2,1024.6,5125.5,
320,TTL,978.2,989,946,946,72351,70064861.5,959.1,1262.8,366.1,946,1191,968.4,7715.67,
321,SANVI,885,900,860.1,865,73955,64482159.4,885,1060,359,865,764,871.91,7612,
322,NICAD2091,1065,1065,1065,1065,212,225780,1048.1,1102.6,1005.2,1065,1,1065,5325,
323,GBIMESY2,9.5,9.5,9.12,9.19,1400,12872,9.6,10.18,8.5,9.19,14,9.19,1378.5,
324,HIMSTAR,1010,1034,990,1000,22446,22613533.8,1009,1264,252.2,1000,413,1007.46,3730,
325,SHINED,1120,1147,1120,1142.4,1105,1266055,1120,1200,1000,1142.4,6,1145.75,1142.4,
326,SBID2090,1078,1079.9,1078,1079.9,200,215885,1060,1107,1000,1079.9,3,1079.42,3239.7,
327,SAGAR,2200,2200,2080,2080,24335,51674344.6,2160,2439,319.5,2080,489,2123.45,15100.8,
328,BANDIPUR,1100,1135,1055,1055,138461,150596640.3,1107,1233,285,1055,2338,1087.64,29856.5,
329,JHAPA,1408,1487,1408,1445,7452,10912739,1436,1749,293.4,1445,264,1464.4,5493.75,
330,SAIL,1501,1511,1403,1450,108705,160248892.5,1499.4,1690,301.7,1450,1978,1474.16,23653.13,
